Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SIM_1	58080083	0	9184852	0	0	0	22071792	0	58080083	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	58080083
SIM_2	54135319	0	7847366	0	0	0	19556031	0	54135319	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54135319
SIM_3	52702657	0	7921410	0	0	0	19518801	0	52702657	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	52702657
SIM_4	46899131	0	5390372	0	0	0	16051377	0	46899131	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	46899131
SIM_5	43321186	0	5179654	0	0	0	14874062	0	43321186	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	43321186
SIM_6	46995259	0	5629659	0	0	0	17863545	0	46995259	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	46995259
VPA_1	43284112	0	8361150	0	0	0	16321913	0	43284112	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	43284112
VPA_2	43968588	0	8261668	0	0	0	16088162	0	43968588	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	43968588
VPA_3	58542705	0	11198589	0	0	0	22587389	0	58542705	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	58542705
VPA_4	53140406	0	6931450	0	0	0	19880707	0	53140406	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	53140406
VPA_5	40745806	0	5221713	0	0	0	16266519	0	40745806	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	40745806
VPA_6	47146736	0	5826886	0	0	0	19306076	0	47146736	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47146736
VPA_SIM_1	48195785	0	5357018	0	0	0	16674332	0	48195785	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	48195785
VPA_SIM_2	48512185	0	5583994	0	0	0	20284801	0	48512185	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	48512185
VPA_SIM_3	47603409	0	5593020	0	0	0	16904558	0	47603409	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47603409
VPA_SIM_5	56415332	0	8982480	0	0	0	21710272	0	56415332	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	56415332
VPA_SIM_6	53618240	0	7341546	0	0	0	20268258	0	53618240	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	53618240
VS_GEM_50_TAX_10_1	49862064	0	5902947	0	0	0	18772747	0	49862064	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	49862064
VS_GEM_50_TAX_10_2	54250263	0	7764676	0	0	0	21174455	0	54250263	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54250263
VS_GEM_50_TAX_10_3	50687815	0	7125080	0	0	0	19097717	0	50687815	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	50687815
VS_GEM_50_TAX_10_4	54303942	0	7981674	0	0	0	20365104	0	54303942	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54303942
VS_GEM_50_TAX_10_5	48182647	0	5785611	0	0	0	17277493	0	48182647	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	48182647
VS_GEM_50_TAX_10_6	57151292	0	9500406	0	0	0	21392845	0	57151292	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	57151292
